id,female,prog,read
70,0,1,57
121,1,3,68
86,0,1,44
141,0,3,63
172,0,2,47
113,0,2,44
50,0,1,50
11,0,2,34
84,0,1,63
48,0,2,57
75,0,3,60
60,0,2,57
95,0,2,73
104,0,2,54
38,0,2,45
115,0,1,42
76,0,2,47
195,0,1,57
114,0,2,68
85,0,1,55
167,0,1,63
143,0,3,63
41,0,2,50
20,0,2,60
12,0,3,37
53,0,3,34
154,0,2,65
178,0,3,47
196,0,2,44
29,0,1,52
126,0,1,42
103,0,2,76
192,0,2,65
150,0,3,42
199,0,2,52
144,0,1,60
200,0,2,68
80,0,2,65
16,0,3,47
153,0,3,39
176,0,2,47
177,0,2,55
168,0,2,52
40,0,1,42
62,0,1,65
169,0,1,55
49,0,3,50
136,0,2,65
189,0,2,47
7,0,2,57
27,0,2,53
128,0,2,39
21,0,1,44
183,0,2,63
132,0,2,73
15,0,3,39
67,0,3,37
22,0,3,42
185,0,2,63
9,0,3,48
181,0,2,50
170,0,2,47
134,0,1,44
108,0,1,34
197,0,2,50
140,0,3,44
171,0,2,60
107,0,3,47
81,0,2,63
18,0,3,50
155,0,1,44
97,0,2,60
68,0,2,73
157,0,1,68
56,0,3,55
5,0,2,47
159,0,2,55
123,0,1,68
164,0,3,31
14,0,2,47
127,0,2,63
165,0,3,36
174,0,2,68
3,0,2,63
58,0,3,55
146,0,2,55
102,0,2,52
117,0,3,34
133,0,3,50
94,0,2,55
24,0,2,52
149,0,1,63
82,1,2,68
8,1,2,39
129,1,1,44
173,1,1,50
57,1,2,71
100,1,2,63
1,1,3,34
194,1,2,63
88,1,2,68
99,1,1,47
47,1,2,47
120,1,2,63
166,1,2,52
65,1,2,55
101,1,2,60
89,1,3,35
54,1,1,47
180,1,2,71
162,1,3,57
4,1,2,44
131,1,2,65
125,1,2,68
34,1,2,73
106,1,3,36
130,1,1,43
93,1,2,73
163,1,2,52
37,1,3,41
35,1,1,60
87,1,1,50
73,1,2,50
151,1,3,47
44,1,3,47
152,1,2,55
105,1,2,50
28,1,1,39
91,1,3,50
45,1,3,34
116,1,2,57
33,1,2,57
66,1,3,68
72,1,3,42
77,1,2,61
61,1,2,76
190,1,2,47
42,1,3,46
2,1,3,39
55,1,2,52
19,1,1,28
90,1,2,42
142,1,3,47
17,1,2,47
122,1,2,52
191,1,2,47
83,1,3,50
182,1,2,44
6,1,2,47
46,1,2,45
43,1,2,47
96,1,2,65
138,1,3,43
10,1,1,47
71,1,1,57
139,1,2,68
110,1,3,52
148,1,3,42
109,1,1,42
39,1,2,66
147,1,2,47
74,1,2,57
198,1,2,47
161,1,2,57
112,1,2,52
69,1,3,44
156,1,2,50
111,1,1,39
186,1,2,57
98,1,3,57
119,1,1,42
13,1,3,47
51,1,1,42
26,1,2,60
36,1,1,44
135,1,2,63
59,1,2,65
78,1,2,39
64,1,3,50
63,1,1,52
79,1,2,60
193,1,2,44
92,1,1,52
160,1,2,55
32,1,3,50
23,1,2,65
158,1,1,52
25,1,1,47
188,1,2,63
52,1,2,50
124,1,3,42
175,1,1,36
184,1,3,50
30,1,2,41
179,1,2,47
31,1,1,55
145,1,3,42
187,1,1,57
118,1,1,55
137,1,2,63
